[2020-May-13 19:48:39] Creating Device
[2020-May-13 19:48:41] Loading: "Resources/Life.png"
[2020-May-13 19:48:41] Loading: "Resources/Car.png"
[2020-May-13 19:48:41] Creating UI
[2020-May-13 19:48:41] Loading: "Resources/UI/Replay.png"
[2020-May-13 19:48:41] Loading: "Resources/UI/ReplayPressed.png"
[2020-May-13 19:48:41] Loading: "Resources/UI/Quit.png"
[2020-May-13 19:48:41] Loading: "Resources/UI/QuitPressed.png"
[2020-May-13 19:48:41] Loading: "Resources/UI/Resume.png"
[2020-May-13 19:48:41] Loading: "Resources/UI/ResumePressed.png"
[2020-May-13 19:48:41] Loading: "Resources/UI/Pause.png"
[2020-May-13 19:48:41] Loading: "Resources/UI/PausePressed.png"
[2020-May-13 19:48:41] Loading: "Resources/UI/Speedometer.png"
[2020-May-13 19:48:41] Loading: "Resources/UI/SpeedPointer.png"
[2020-May-13 19:48:41] Loading: "Resources/UI/Life17.png"
[2020-May-13 19:48:41] Loading: "Resources/Fonts/VCR17.spritefont"
[2020-May-13 19:48:41] Loading: "Resources/UI/ScoreBar.png"
[2020-May-13 19:48:41] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:41] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:41] Loading: "Resources/UI/ScoreBar.png"
[2020-May-13 19:48:41] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:41] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:42] Creating Game resources
[2020-May-13 19:48:42] Creating Pseudo3DCamera
[2020-May-13 19:48:42] Creating BloomCamera
[2020-May-13 19:48:42] Loading: "Resources/Sun.png"
[2020-May-13 19:48:42] Loading: "Resources/Border.png"
[2020-May-13 19:48:42] Loading: "Resources/Palm.png"
[2020-May-13 19:48:42] Loading: "Resources/Tower.png"
[2020-May-13 19:48:42] Loading: "Resources/Mountains.png"
[2020-May-13 19:48:42] Loading: "Resources/CarBack.png"
[2020-May-13 19:48:42] Loading: "Resources/CarFront.png"
[2020-May-13 19:48:42] Loading: "Resources/MotorBack.png"
[2020-May-13 19:48:42] Loading: "Resources/Life.png"
[2020-May-13 19:48:42] Loading: "Resources/Car.png"
[2020-May-13 19:48:42] Creating UI
[2020-May-13 19:48:42] Loading: "Resources/UI/Replay.png"
[2020-May-13 19:48:42] Loading: "Resources/UI/ReplayPressed.png"
[2020-May-13 19:48:42] Loading: "Resources/UI/Quit.png"
[2020-May-13 19:48:42] Loading: "Resources/UI/QuitPressed.png"
[2020-May-13 19:48:42] Loading: "Resources/UI/Resume.png"
[2020-May-13 19:48:42] Loading: "Resources/UI/ResumePressed.png"
[2020-May-13 19:48:42] Loading: "Resources/UI/Pause.png"
[2020-May-13 19:48:42] Loading: "Resources/UI/PausePressed.png"
[2020-May-13 19:48:42] Loading: "Resources/UI/Speedometer.png"
[2020-May-13 19:48:42] Loading: "Resources/UI/SpeedPointer.png"
[2020-May-13 19:48:42] Loading: "Resources/UI/Life17.png"
[2020-May-13 19:48:42] Loading: "Resources/Fonts/VCR17.spritefont"
[2020-May-13 19:48:42] Loading: "Resources/UI/ScoreBar.png"
[2020-May-13 19:48:42] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:42] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:42] Loading: "Resources/UI/ScoreBar.png"
[2020-May-13 19:48:42] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:42] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:43] Creating Game resources
[2020-May-13 19:48:43] Creating Pseudo3DCamera
[2020-May-13 19:48:43] Creating BloomCamera
[2020-May-13 19:48:43] Loading: "Resources/Sun.png"
[2020-May-13 19:48:43] Loading: "Resources/Border.png"
[2020-May-13 19:48:43] Loading: "Resources/Palm.png"
[2020-May-13 19:48:43] Loading: "Resources/Tower.png"
[2020-May-13 19:48:43] Loading: "Resources/Mountains.png"
[2020-May-13 19:48:43] Loading: "Resources/CarBack.png"
[2020-May-13 19:48:43] Loading: "Resources/CarFront.png"
[2020-May-13 19:48:43] Loading: "Resources/MotorBack.png"
[2020-May-13 19:48:43] Loading: "Resources/Life.png"
[2020-May-13 19:48:43] Loading: "Resources/Car.png"
[2020-May-13 19:48:43] Creating UI
[2020-May-13 19:48:43] Loading: "Resources/UI/Replay.png"
[2020-May-13 19:48:43] Loading: "Resources/UI/ReplayPressed.png"
[2020-May-13 19:48:43] Loading: "Resources/UI/Quit.png"
[2020-May-13 19:48:43] Loading: "Resources/UI/QuitPressed.png"
[2020-May-13 19:48:43] Loading: "Resources/UI/Resume.png"
[2020-May-13 19:48:43] Loading: "Resources/UI/ResumePressed.png"
[2020-May-13 19:48:43] Loading: "Resources/UI/Pause.png"
[2020-May-13 19:48:43] Loading: "Resources/UI/PausePressed.png"
[2020-May-13 19:48:43] Loading: "Resources/UI/Speedometer.png"
[2020-May-13 19:48:43] Loading: "Resources/UI/SpeedPointer.png"
[2020-May-13 19:48:43] Loading: "Resources/UI/Life17.png"
[2020-May-13 19:48:43] Loading: "Resources/Fonts/VCR17.spritefont"
[2020-May-13 19:48:43] Loading: "Resources/UI/ScoreBar.png"
[2020-May-13 19:48:43] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:43] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:43] Loading: "Resources/UI/ScoreBar.png"
[2020-May-13 19:48:43] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:43] Loading: "Resources/Fonts/VCR32.spritefont"
